EstablecimientoGlosa;RegionGlosa;TipoEstablecimientoGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaGlosa;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
Clínica San Isidoro Salud Spa;Región Metropolitana De Santiago;Clínica;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.44655;-70.64403;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Centro Médico Vida Integra Alameda;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.446412;-70.658798;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
SAR Violeta Parra;Región Metropolitana De Santiago;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Municipal;Primario;Pudahuel;30-01-2017;SI;Urgencia Ambulatoria (SAR);-33.445429;-70.740969;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Policlínico Rosita Benveniste;Región Metropolitana De Santiago;Centro de Especialidades Primarias;Municipal;Primario;San Bernardo;19-02-2020;NO;No Aplica;-33.590678;-70.702399;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Referencia de Salud Salvador Allende;Región Metropolitana De Santiago;Centro de Referencia de Salud (CRS);Servicio de Salud;Secundario;Pudahuel;;NO;No Aplica;-33.445369;-70.740976;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Referencia Oxman y Cía. Ltda.;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.444929;-70.669423;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro Médico y Dental Megasalud Alameda;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.444915;-70.657657;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Clínica San Andrés;Región Metropolitana De Santiago;Clínica;Privado;No Aplica;Providencia;01-01-2009;NO;No Aplica;-33.4446;-70.6223;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Laboratorio Bio Reval Ltda;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.444597;-70.651889;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Elsa;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Providencia;01-01-2009;NO;No Aplica;-33.444389;-70.625433;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Dr. Hernán Alessandri;Región Metropolitana De Santiago;Centro de Salud Familiar (CESFAM);Municipal;Primario;Providencia;;NO;No Aplica;-33.44423;-70.62043;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Médico HTS Spa;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Providencia;06-02-2008;NO;No Aplica;-33.444151;-70.63295;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Plaza México;Región Metropolitana De Santiago;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Quinta Normal;07-03-2017;NO;No Aplica;-33.44401;-70.69621;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río;Región Metropolitana De Santiago;Hospital;Servicio de Salud;Terciario;Santiago;24-02-2019;SI;Urgencia Hospitalaria (UEH);-33.444004;-70.637955;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Consultorio Escuela de Carabineros de Chile;Región Metropolitana De Santiago;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);Secundario;Providencia;01-01-2009;NO;No Aplica;-33.44386;-70.6119;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro Médico Lira Red de Salud UC CHRISTUS;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;;NO;No Aplica;-33.443851;-70.64105;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Servicio Médico Dental (S) Armada de Chile;Región Metropolitana De Santiago;Centro de Salud Privado;Fuerzas Armadas y de Orden (FFAA);No Aplica;Quinta Normal;01-01-2009;NO;No Aplica;-33.4437;-70.689673;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Elena Caffarena;Región Metropolitana De Santiago;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Providencia;11-04-2014;NO;No Aplica;-33.44365;-70.62476;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital del Trabajador Santiago;Región Metropolitana De Santiago;Hospital;Privado;Terciario;Providencia;01-01-2009;SI;Urgencia Hospitalaria (UEH);-33.443625;-70.632551;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Centro Odontologico Uno Salud Dental Maipu 3;Región Metropolitana De Santiago;Clínica Dental;Privado;Secundario;Maipú;07-03-2022;NO;No Aplica;-33.47812;-70.756739;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Hernández y Gutiérrez Ltda;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.443284;-70.646988;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Clínica Instituto El Cedro;Región Metropolitana De Santiago;Clínica;Privado;No Aplica;La Reina;01-01-2009;NO;No Aplica;-33.44327;-70.522993;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Laboratorio Perfil Bioquímico;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.443197;-70.64343;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
SAPU Aguilucho;Región Metropolitana De Santiago;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Providencia;;SI;Urgencia Ambulatoria (SAPU);-33.443182;-70.597762;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Integramédica Forestal;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.443088;-70.645705;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro Médico y Dental Servicio de Bienestar MOP;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;No Aplica;Santiago;06-06-1980;NO;No Aplica;-33.443018;-70.653049;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro Médico y Dental Fundación Asistencial Trabajadores del Banco del Estado de Chile;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.442973;-70.655523;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro de Cáncer Red de Salud UC CHRISTUS;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;;NO;No Aplica;-33.442892;-70.641022;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Ossandon;Región Metropolitana De Santiago;Centro de Salud Familiar (CESFAM);Municipal;Primario;La Reina;;NO;No Aplica;-33.44286;-70.54447;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Aguilucho;Región Metropolitana De Santiago;Centro de Salud Familiar (CESFAM);Municipal;Primario;Providencia;;NO;No Aplica;-33.44267;-70.5971;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Especialidades Médicas Red de Salud UC CHRISTUS;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;;NO;No Aplica;-33.442651;-70.639037;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Labocenter;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.442579;-70.646414;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Posta de Salud Rural Lagunillas;Región De Valparaíso;Posta de Salud Rural (PSR);Municipal;Primario;Casablanca;;NO;No Aplica;-33.44247;-71.45254;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
COSAM Municipal de Pudahuel;Región Metropolitana De Santiago;Centro Comunitario de Salud Mental (COSAM);Municipal;Secundario;Pudahuel;16-10-2012;NO;No Aplica;-33.442437;-70.76465;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
SAPU Pudahuel Poniente;Región Metropolitana De Santiago;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Pudahuel;;SI;Urgencia Ambulatoria (SAPU);-33.442413;-70.764867;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital San Juan de Dios (Santiago, Santiago);Región Metropolitana De Santiago;Hospital;Servicio de Salud;Terciario;Santiago;;SI;Urgencia Hospitalaria (UEH);-33.442394;-70.679188;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Instituto Oftalmológico Dr. David Bitran;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Providencia;05-08-2013;NO;No Aplica;-33.442344;-70.624128;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Hospital Clínico Red de Salud UC CHRISTUS;Región Metropolitana De Santiago;Hospital;Privado;Terciario;Santiago;01-01-2009;SI;Urgencia Hospitalaria (UEH);-33.442233;-70.640349;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Vacunatorio Marcoleta de la Pontificia Universidad Católica de Chile;Región Metropolitana De Santiago;Vacunatorio;Privado;Primario;Santiago;01-01-2009;NO;No Aplica;-33.442163;-70.640257;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Clínica UC Red de Salud UC CHRISTUS;Región Metropolitana De Santiago;Clínica;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.442159;-70.641311;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Centro de Salud Vida Integra Bandera;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.441929;-70.651903;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro de Oncología Preventiva de la Universidad de Chile;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Quinta Normal;01-01-2009;NO;No Aplica;-33.441882;-70.683538;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro Odontológico Uno Salud Dental Manquehue;Región Metropolitana De Santiago;Clínica Dental;Privado;No Aplica;Las Condes;02-08-2013;NO;No Aplica;-33.410835;-70.566112;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Integramédica Bandera;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.441528;-70.652402;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro Asistencial Achs Santiago;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.441492;-70.656611;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Clínica Psiquiátrica Santa Cecilia;Región Metropolitana De Santiago;Clínica;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.44129;-70.66728;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Centro de Salud Mutual Cchc Agustinas;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.441165;-70.655942;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Evaluación del Trabajo (CET) Santiago Centro;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;13-11-2018;NO;No Aplica;-33.440462;-70.648817;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Amapolas;Región Metropolitana De Santiago;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Ñuñoa;05-07-2017;NO;No Aplica;-33.44031;-70.58001;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Sigma;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.440215;-70.677134;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Mirandes S.P.A.;Región Metropolitana De Santiago;Clínica;Privado;No Aplica;Providencia;15-04-2014;NO;No Aplica;-33.44015;-70.62442;Privado;Vigente en Operación Habitual;Pendiente;Atención Cerrada-hospitalaria
Centro CONIN Credes;Región Metropolitana De Santiago;Centro Corporación Para la Nutrición Infantil (CONIN);Privado;No Aplica;Providencia;01-01-2009;NO;No Aplica;-33.439977;-70.606741;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Centro Odontológico Uno Salud Dental Melipilla;Región Metropolitana De Santiago;Clínica Dental;Privado;No Aplica;Melipilla;18-07-2018;NO;No Aplica;-33.686251;-71.214487;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Dipreca - Sala Externa de Toma de Muestras;Región Metropolitana De Santiago;Laboratorio Clínico;Fuerzas Armadas y de Orden (FFAA);No Aplica;Santiago;27-04-2000;NO;No Aplica;-33.439732;-70.646582;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;No Aplica;No Aplica
Centro Integramédica;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.439526;-70.652881;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
COSAM Lo Prado;Región Metropolitana De Santiago;Centro Comunitario de Salud Mental (COSAM);Municipal;Secundario;Lo Prado;;NO;No Aplica;-33.439516;-70.719801;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Hospital Digital;Región Metropolitana De Santiago;Atención Remota;Servicio de Salud;No Aplica;Santiago;05-11-2018;NO;No Aplica;-33.439415;-70.646293;Público;Vigente en Operación Habitual;Pendiente;No Aplica
Centro de Salud Familiar Santa Anita;Región Metropolitana De Santiago;Centro de Salud Familiar (CESFAM);Municipal;Primario;Lo Prado;;NO;No Aplica;-33.43929;-70.7093;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU Santa Anita;Región Metropolitana De Santiago;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Lo Prado;;SI;Urgencia Ambulatoria (SAPU);-33.439204;-70.709532;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Instituto Clínico Oncológico Fundación Arturo López Pérez;Región Metropolitana De Santiago;Clínica;Privado;Terciario;Providencia;01-01-2009;NO;No Aplica;-33.43913;-70.62242;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Centro de Salud Diagnostiko Ltda;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.439095;-70.642253;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro de Salud Familiar Ignacio Domeyko;Región Metropolitana De Santiago;Centro de Salud Familiar (CESFAM);Municipal;Primario;Santiago;;NO;No Aplica;-33.43892;-70.67247;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU Ignacio Domeyko;Región Metropolitana De Santiago;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Santiago;13-06-2016;SI;Urgencia Ambulatoria (SAPU);-33.438921;-70.672467;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
JB Medical Test Spa;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Primario;Santiago;;NO;No Aplica;-33.438854;-70.648809;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Clínica las Acacias;Región Metropolitana De Santiago;Clínica;Privado;No Aplica;Providencia;01-01-2009;NO;No Aplica;-33.43878;-70.62518;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro Odontológico Uno Salud Dental Merced;Región Metropolitana De Santiago;Clínica Dental;Privado;No Aplica;Santiago;06-05-2016;NO;No Aplica;-33.437624;-70.644432;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Instituto de Enfermedades Circulatorias;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Providencia;01-01-2009;NO;No Aplica;-33.438456;-70.618338;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Isla Negra;Región De Valparaíso;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;El Quisco;;NO;No Aplica;-33.43842;-71.68409;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Clínica Miguel Claro;Región Metropolitana De Santiago;Clínica;Privado;No Aplica;Providencia;01-01-2009;NO;No Aplica;-33.438311;-70.618322;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Bioánalisis Ltda.;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Providencia;01-01-2009;NO;No Aplica;-33.438106;-70.632423;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Clínica Fundación Gantz;Región Metropolitana De Santiago;Clínica;Privado;Secundario;Pudahuel;01-01-2009;NO;No Aplica;-33.438055;-70.747937;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica;Región Metropolitana De Santiago;Hospital;Servicio de Salud;Terciario;Providencia;;NO;No Aplica;-33.437988;-70.621882;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Laboratorio Santiago Centro;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.437979;-70.64855;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro de Atencion Integral Merced;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;;NO;No Aplica;-33.437978;-70.65123;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Dilab;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Providencia;01-01-2009;NO;No Aplica;-33.437953;-70.634743;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud la Araucana Salud;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;19-10-2011;NO;No Aplica;-33.437944;-70.643933;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Bionet S.A. - Providencia;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Providencia;01-01-2009;NO;No Aplica;-33.437839;-70.634761;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Actividades Gestionadas Por la Dirección del Servicio Para Apoyo de la Red (S.S Metropolitano Central);Región Metropolitana De Santiago;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Santiago;;NO;No Aplica;-33.437836;-70.643062;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Andacollo;Región Metropolitana De Santiago;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Providencia;18-08-2016;NO;No Aplica;-33.43767;-70.60625;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Metropolitano de Atención Prehospitalaria;Región Metropolitana De Santiago;Centro de Regulación Médica de las Urgencias (SAMU);Servicio de Salud;Terciario;Santiago;29-11-2016;SI;Urgencia Ambulatoria Privada;-33.437666;-70.644218;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Abierta-ambulatoria
Centro Odontológico Uno Salud Dental Moneda;Región Metropolitana De Santiago;Clínica Dental;Privado;No Aplica;Santiago;06-07-2011;NO;No Aplica;-33.441773;-70.650018;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Antonio Concha;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Santiago;01-01-2009;NO;No Aplica;-33.43744;-70.641653;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro de Salud Familiar Pudahuel Estrella;Región Metropolitana De Santiago;Centro de Salud Familiar (CESFAM);Municipal;Primario;Pudahuel;;NO;No Aplica;-33.43739;-70.75067;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAR la Estrella;Región Metropolitana De Santiago;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Municipal;Primario;Pudahuel;;SI;Urgencia Ambulatoria (SAR);-33.437182;-70.750685;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAPU Dr. Avendaño;Región Metropolitana De Santiago;Servicio de Atención Primaria de Urgencia (SAPU);Municipal;Primario;Lo Prado;;SI;Urgencia Ambulatoria (SAPU);-33.437066;-70.740457;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Omega;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.436962;-70.680018;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Centro de Salud Vival Ltda.;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Santiago;01-01-2009;NO;No Aplica;-33.436955;-70.648935;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Instituto de Neurocirugía Dr. Alfonso Asenjo;Región Metropolitana De Santiago;Hospital;Servicio de Salud;Terciario;Providencia;;SI;Hospitalaria Especializada;-33.436888;-70.622448;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Centro de Salud Familiar Dr. Carlos Avendaño;Región Metropolitana De Santiago;Centro de Salud Familiar (CESFAM);Municipal;Primario;Lo Prado;;NO;No Aplica;-33.43688;-70.74045;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Consultorio Coaniquem;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Pudahuel;01-01-2009;NO;No Aplica;-33.436776;-70.748549;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-ambulatoria
Hospital del Salvador de Santiago;Región Metropolitana De Santiago;Hospital;Servicio de Salud;Terciario;Providencia;;SI;Urgencia Hospitalaria (UEH);-33.43664;-70.624493;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Unidad de Salud Funcionario S.S Metropolitano Oriente;Región Metropolitana De Santiago;Unidad de Salud Funcionarios;Servicio de Salud;Secundario;Providencia;29-01-2021;NO;No Aplica;-33.43664;-70.624493;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Actividades Gestionadas Por la Dirección del Servicio Para Apoyo de la Red (S.S Metropolitano Oriente);Región Metropolitana De Santiago;Dirección Servicio de Salud;Servicio de Salud;No Aplica;Providencia;;NO;No Aplica;-33.43664;-70.624493;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
PRAIS (S.S Metropolitano Oriente);Región Metropolitana De Santiago;Programa de Reparación y Atención Integral de Salud (PRAIS);Servicio de Salud;No Aplica;Providencia;;NO;No Aplica;-33.43664;-70.624493;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Vacunatorio Internacional SEREMI de Salud Metropolitana;Región Metropolitana De Santiago;Vacunatorio;SEREMI de Salud;Primario;Providencia;01-01-2009;NO;No Aplica;-33.436486;-70.622589;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Instituto Radiológico Providencia;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Providencia;;NO;No Aplica;-33.436374;-70.631223;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio SANALAB S.A.;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Santiago;;NO;No Aplica;-33.43613;-70.678916;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Clínica Psiquiatrica Bretaña;Región Metropolitana De Santiago;Clínica;Privado;No Aplica;Providencia;01-01-2009;NO;No Aplica;-33.43594;-70.59623;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
VACUMED;Región Metropolitana De Santiago;Vacunatorio;Privado;Primario;Providencia;02-04-2020;NO;No Aplica;-33.435545;-70.631183;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Química Clínica Especializada;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Providencia;01-01-2009;NO;No Aplica;-33.435211;-70.62625;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
AMIM;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Primario;Providencia;;NO;No Aplica;-33.435106;-70.626164;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Diagnóstika;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Providencia;13-05-2008;NO;No Aplica;-33.43499;-70.626325;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Instituto Traumatológico Dr. Teodoro Gebauer;Región Metropolitana De Santiago;Hospital;Servicio de Salud;Terciario;Santiago;;SI;Hospitalaria Especializada;-33.434891;-70.658236;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva;Región Metropolitana De Santiago;Hospital;Servicio de Salud;Terciario;Providencia;;NO;No Aplica;-33.434825;-70.622227;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Red Salud Providencia Ex Clínica Avansalud Providencia;Región Metropolitana De Santiago;Clínica;Privado;Terciario;Providencia;01-01-2009;SI;Urgencia Hospitalaria (UEH);-33.43482;-70.62584;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Centro de Atencion Integral Providencia;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Providencia;;NO;No Aplica;-33.434704;-70.601625;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Blanco;Región Metropolitana De Santiago;Laboratorio Clínico;Privado;No Aplica;Providencia;01-01-2009;NO;No Aplica;-33.434393;-70.626504;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Megasalud;Región Metropolitana De Santiago;Centro de Salud Privado;Privado;Secundario;Providencia;01-01-2009;NO;No Aplica;-33.434342;-70.625991;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
